X,Y,X,Y,X,Y,X,Y,X,Y
243.955,13679.819,243.955,33207.781,243.955,5571.544,243.955,5089.165,243.955,4714.728
244.9,13505.704,244.9,32730.162,244.9,5542.508,244.9,5054.298,244.9,4759.091
245.846,13498.598,245.846,31770.322,245.846,5595.919,245.846,5118.506,245.846,4754.451
246.792,13528.768,246.792,31201.943,246.792,5583.286,246.792,5111.697,246.792,4714.88
247.737,13484.778,247.737,30482.844,247.737,5596.208,247.737,5040.584,247.737,4746.692
248.683,13560.3,248.683,29871.984,248.683,5545.126,248.683,5092.328,248.683,4729.162
249.628,13342.814,249.628,29252.986,249.628,5552.418,249.628,5054.303,249.628,4726.91
250.574,13292.517,250.574,28681.287,250.574,5559.943,250.574,5062.746,250.574,4691.526
251.519,13307.8,251.519,27593.562,251.519,5554.6,251.519,5026.098,251.519,4723.252
252.465,13219.134,252.465,27356.096,252.465,5519.018,252.465,5053.149,252.465,4724.426
253.411,13434.364,253.411,26956.955,253.411,5555.265,253.411,5047.382,253.411,4714.291
254.356,13513.405,254.356,26458.814,254.356,5542.82,254.356,5068.305,254.356,4718.062
255.302,13346.173,255.302,25699.359,255.302,5578.987,255.302,5105.67,255.302,4693.752
256.247,13222.858,256.247,25113.379,256.247,5563.104,256.247,5016.503,256.247,4700.931
257.193,13403.236,257.193,24524.541,257.193,5567.981,257.193,5081.553,257.193,4736.988
258.138,13411.451,258.138,24320.199,258.138,5521.919,258.138,5048.744,258.138,4722.424
259.084,13394.896,259.084,23881.742,259.084,5554.297,259.084,5023.896,259.084,4693.28
260.029,13406.482,260.029,23530.367,260.029,5550.909,260.029,5092.231,260.029,4702.729
260.975,13214.414,260.975,23387.447,260.975,5546.409,260.975,5045.678,260.975,4733.728
261.921,13130.724,261.921,22797.141,261.921,5533.835,261.921,5067.9,261.921,4702.898
262.866,13396.172,262.866,22234.455,262.866,5567.425,262.866,5072.312,262.866,4688.477
263.812,13110.857,263.812,21963.178,263.812,5577.541,263.812,5050.46,263.812,4700.269
264.757,12946.653,264.757,21491.85,264.757,5600.189,264.757,5016.628,264.757,4702.611
265.703,13352.701,265.703,21215.119,265.703,5586.217,265.703,5054.112,265.703,4740.112
266.648,13019.066,266.648,21119.576,266.648,5576.509,266.648,5043.911,266.648,4730.089
267.594,13040.021,267.594,20441.916,267.594,5588.079,267.594,5066.234,267.594,4713.796
268.539,13279.657,268.539,19808.736,268.539,5531.992,268.539,5147.768,268.539,4710.796
269.485,13134.056,269.485,19880.094,269.485,5626.108,269.485,5073.49,269.485,4700.621
270.431,13080.659,270.431,19683.273,270.431,5613.379,270.431,4989.665,270.431,4754.941
271.376,13041.679,271.376,19360.891,271.376,5616.228,271.376,5108.191,271.376,4700.787
272.322,12968.854,272.322,18977.98,272.322,5648.285,272.322,5092.042,272.322,4738.828
273.267,13026.393,273.267,18662.305,273.267,5578.122,273.267,5017.037,273.267,4725.087
274.213,13255.378,274.213,18261.555,274.213,5599.547,274.213,5094.806,274.213,4726.407
275.158,13119.941,275.158,18106.924,275.158,5624.58,275.158,5060.047,275.158,4747.085
276.104,12954.912,276.104,17838.006,276.104,5563.338,276.104,5145.448,276.104,4710.271
277.05,13043.537,277.05,17723.426,277.05,5592.478,277.05,5059.583,277.05,4725.496
277.995,12921.808,277.995,17356.518,277.995,5575.929,277.995,5089.942,277.995,4720.348
278.941,12893.257,278.941,17556.234,278.941,5605.416,278.941,4991.551,278.941,4707.749
279.886,12903.967,279.886,16855.668,279.886,5746.993,279.886,5117.228,279.886,4708.94
280.832,12921.954,280.832,16824.588,280.832,5792.834,280.832,5090.519,280.832,4716.882
281.777,13082.224,281.777,16514.346,281.777,5766.43,281.777,5125.777,281.777,4703.887
282.723,13010.979,282.723,16010.142,282.723,5773.775,282.723,5049.875,282.723,4729.408
283.668,12812.682,283.668,16142.525,283.668,5767.421,283.668,5074.61,283.668,4739.672
284.614,13121.588,284.614,15813.451,284.614,5740.317,284.614,5112.456,284.614,4745.259
285.56,12793.944,285.56,15859.145,285.56,5749.409,285.56,5092.888,285.56,4687.518
286.505,12923.886,286.505,15426.746,286.505,5728.36,286.505,5103.49,286.505,4728.746
287.451,12875.535,287.451,15330.635,287.451,5715.613,287.451,5119.229,287.451,4689.022
288.396,12938.785,288.396,15036.392,288.396,5730.458,288.396,5015.745,288.396,4728.799
289.342,12955.841,289.342,15074.077,289.342,5749.527,289.342,5047.007,289.342,4712.262
290.287,13101.976,290.287,14758.53,290.287,5727.633,290.287,5101.659,290.287,4735.135
