Mean,Mean,Mean,Mean
,51.6615,34.8297,44.7639
,51.1996,35.0757,44.157
,51.4882,35.0774,44.1906
,51.2902,34.7151,43.6669
,51.933,35.0345,44.343
,51.5789,35.3859,44.2837
,51.1182,35.1733,44.7448
,51.217,35.0703,44.2306
,51.3113,35.0837,44.5688
,50.9506,34.9366,44.6415
,51.4939,34.666,44.6662
,51.2713,34.9501,44.0694
,51.5545,34.9306,44.111
,51.4914,35.1019,44.485
,51.4753,34.4625,44.1809
,51.6922,35.0282,44.2969
,51.2158,35.3405,43.8007
,51.0438,34.8118,44.4312
,51.1981,35.2624,44.2067
,51.4853,35.2094,43.6374
,51.3033,35.2382,43.4521
,51.7398,34.7471,43.5465
,51.751,35.0345,43.9714
,51.2296,34.7218,43.5534
,50.9406,34.6305,43.7251
,51.0772,34.9521,43.4219
,50.9317,34.7383,43.7418
,50.0706,34.6424,43.7669
,50.7541,34.1358,43.989
,50.7046,34.4396,44.3133
,50.4397,34.8839,43.8985
,51.4054,34.7274,43.39
,50.238,34.4289,43.4369
,50.6932,34.8974,44.0819
,50.1563,34.1837,44.1004
,50.4229,34.7797,44.1816
,50.2072,34.1919,44.1697
,50.4462,34.8829,44.1667
,50.1739,34.8503,43.7811
,50.3485,34.9026,43.8152
,50.1863,34.4389,44.1965
,50.3505,34.0236,44.1831
,50.7979,34.4034,43.8156
,50.2338,34.469,43.742
,50.359,33.9266,43.938
,50.6388,34.695,44.5315
,50.109,34.5773,43.5591
,50.7399,34.6436,43.7174
,50.3283,34.0784,43.7314
,49.8474,33.7641,43.7526
,49.8145,34.2166,43.7344
,49.4352,34.466,43.0208
,49.4329,34.3759,44.0605
,49.5539,34.1146,43.6957
,49.9766,34.1742,44.665
,50.1022,33.6443,43.8278
,50.1208,33.6284,43.4589
,50.1862,33.8153,43.7408
,49.9952,34.1297,43.878
,49.9594,34.0924,43.8446
,50.9409,33.6628,43.7996
,49.9545,34.0644,43.7749
,50.0225,33.8713,43.6607
,49.7282,33.9754,44.0817
,50.0562,34.0796,43.6153
,49.4504,34.127,43.5391
,50.0277,34.1633,43.7558
,50.1575,34.2813,43.9667
,49.7955,34.2594,43.5733
,49.2842,33.6267,43.6273
,49.5608,34.1384,44.1971
,49.9321,33.9237,43.9457
,50.0266,33.8718,43.6909
,49.1611,33.8795,43.5937
,49.6047,33.6429,43.6095
